Sentence,NER,types
"The partners will invest around $ 30 million in the existing copper cable plant at Wuxi to update technology and include optic fibre production , with annual turnover expected to reach $ 60 million within the next few years .","{""LOC"": [""Wuxi""]}",conll2003
"The move marks a further move by Pirelli 's cables division to expand in the fast-growing Far Eastern developing markets with the group already present in Indonesia , India and Malaysia .","{""ORG"": [""Pirelli""], ""MISC"": [""Far Eastern""], ""LOC"": [""Indonesia"", ""India"", ""Malaysia""]}",conll2003
""" This is really positive news for Pirelli , and I expect that it will produce one of the best half-year results in late September compared to other industrial Italian companies , "" said analyst Paula Buratti at Indosuez .","{""ORG"": [""Pirelli"", ""Indosuez""], ""MISC"": [""Italian""], ""PER"": [""Paula Buratti""]}",conll2003
"She emphasised that the move was positive because Pirelli will have management control of the Chinese venture , and it also showed another example of Pirelli exporting its technical know-how to developing markets .","{""ORG"": [""Pirelli"", ""Pirelli""], ""MISC"": [""Chinese""]}",conll2003
Pirelli shares reacted favourable even though talks had been underway for some time and news about a venture had been widely expected .,"{""ORG"": [""Pirelli""]}",conll2003
"The shares rose 0.2 percent to 2,555 lire by 1350 GMT in an easier Milan stock market .","{""MISC"": [""GMT""], ""LOC"": [""Milan""]}",conll2003
"This will be Pirelli 's first industrial involvement in a Chinese market where demand for telecommunication networks is expected to grow to 80-100 million new lines between 1996 and 2000 , doubling demand for optical cables .","{""ORG"": [""Pirelli""], ""MISC"": [""Chinese""]}",conll2003
"China 's second largest telecoms operator Unicom already has a mandate from the central government to establish 15 million new phone lines by the year 2000 , which will necessitate new trunk line systems and local distribution networks .","{""LOC"": [""China""], ""ORG"": [""Unicom""]}",conll2003
""" The starting of this production base in China has for our group an undoubted strategic value , representing an important enhancement of our presence in Asia , "" said Pirelli SpA chairman and chief executive officer Marco Tonchetti Provera .","{""LOC"": [""China"", ""Asia""], ""ORG"": [""Pirelli SpA""], ""PER"": [""Marco Tonchetti Provera""]}",conll2003
"Pirelli Cables has global sales of over $ 3.5 billion , and has become a large supplier of optic cables and systems to major telecoms carriers in the U.S. , Europe and the Far East .","{""ORG"": [""Pirelli Cables""], ""LOC"": [""U.S."", ""Europe"", ""Far East""]}",conll2003
"CITIC Pacific is a major Hong Kong-listed company focusing on infrastruture , trading , distribution and property , with 28 percent of its 1995 profits coming from telecoms .","{""ORG"": [""CITIC Pacific""], ""MISC"": [""Hong Kong-listed""]}",conll2003
It has investments in several industrial joint ventures in China .,"{""LOC"": [""China""]}",conll2003
-DOCSTART-,{},conll2003
Dutch bond futures revival delayed - EOE .,"{""MISC"": [""Dutch""], ""ORG"": [""EOE""]}",conll2003
AMSTERDAM 1996-08-30,"{""LOC"": [""AMSTERDAM""]}",conll2003
"A broad attempt to spur activity in Dutch bond futures has been delayed to give participants a chance to become familiar with the trading system , the European Options Exchange ( EOE ) said on Friday .","{""MISC"": [""Dutch""], ""ORG"": [""European Options Exchange"", ""EOE""]}",conll2003
"Market-making in the rarely-traded FTO contract was expected to begin today , but an EOE spokesman said the 10 banks and brokers involved in the initiative needed time to get accustomed to changes in the electronic trading system .","{""ORG"": [""FTO"", ""EOE""]}",conll2003
""" It 's not ready yet .",{},conll2003
"We found it wise to take some time between the commitment to start and the actual start , "" EOE spokesman Lex van Drooge told Reuters .","{""ORG"": [""EOE"", ""Reuters""], ""PER"": [""Lex van Drooge""]}",conll2003
"He said no date had been fixed yet for the start of price making in the 10-year contract , but the EOE had agreed to speak again to the participants in one to two weeks .","{""ORG"": [""EOE""]}",conll2003
Investors in Dutch bonds currently use German bond futures to hedge their portfolios because the FTO contract is so illiquid .,"{""MISC"": [""Dutch"", ""German""], ""ORG"": [""FTO""]}",conll2003
A limited attempt to reinvigorate the contract two years ago failed .,{},conll2003
"-- Amsterdam newsroom +31 20 504 5000 , Fax +31 20 504 5040","{""LOC"": [""Amsterdam""]}",conll2003
-DOCSTART-,{},conll2003
OSCE defends record over Chechnya peace mission .,"{""ORG"": [""OSCE""], ""LOC"": [""Chechnya""]}",conll2003
BONN 1996-08-30,"{""LOC"": [""BONN""]}",conll2003
The head of an international mediating mission defended its record on Friday in the face of criticism by pro-Moscow leaders in breakway Chechnya and insisted it was doing its best to bring peace to the region .,"{""LOC"": [""Chechnya""]}",conll2003
"Flavio Cotti , the chairman of the Organisation for Security and Cooperation in Europe ( OSCE ) , told German radio the Vienna-based body viewed the conflict in Chechnya as an internal Russian problem .","{""PER"": [""Flavio Cotti""], ""ORG"": [""Organisation for Security and Cooperation in Europe"", ""OSCE""], ""MISC"": [""German"", ""Vienna-based"", ""Russian""], ""LOC"": [""Chechnya""]}",conll2003
""" The OSCE is completely involved .","{""ORG"": [""OSCE""]}",conll2003
"But one must not forget that the OSCE only has limited powers there , "" said Cotti , who is also the Swiss foreign minister . ""","{""ORG"": [""OSCE""], ""MISC"": [""Swiss""]}",conll2003
"Our mission in Chechnya has done all it can within the given limitations . ""","{""LOC"": [""Chechnya""]}",conll2003
"Pro-Moscow leaders in Chechnya have criticised Tim Guldimann , the Swiss diplomat who heads the OSCE Chechnya mission , saying he was biased toward Zelimkhan Yandarbiyev , president of the self-declared separatist government .","{""MISC"": [""Pro-Moscow"", ""Swiss""], ""LOC"": [""Chechnya"", ""Chechnya""], ""PER"": [""Tim Guldimann"", ""Zelimkhan Yandarbiyev""], ""ORG"": [""OSCE""]}",conll2003
Russian peacemaker Alexander Lebed and Chechen separatist military leader Aslan Maskhadov started a new round of peace talks on Friday just outside the rebel region .,"{""MISC"": [""Russian"", ""Chechen""], ""PER"": [""Alexander Lebed"", ""Aslan Maskhadov""]}",conll2003
"Cotti said Chechnya must remain part of Russia , but the solution to the conflict would be to accord the region maximum autonomy within Russia 's borders .","{""PER"": [""Cotti""], ""LOC"": [""Chechnya"", ""Russia"", ""Russia""]}",conll2003
""" There is no doubt that Chechnya , according to OSCE principles , belongs to a state called Russia , "" he said , pointing out that Russia was an OSCE member and it was not the organisation 's policy to challenge members ' sovereignty .","{""LOC"": [""Chechnya"", ""Russia"", ""Russia""], ""ORG"": [""OSCE"", ""OSCE""]}",conll2003
"He added that the OSCE was the only international body which has been allowed into the Chechnya to monitor the human rights situation there , but that its means were restricted by the fact that the conflict was a "" internal issue "" .","{""ORG"": [""OSCE""], ""LOC"": [""Chechnya""]}",conll2003
""" We have a small concept , the details of which have yet to be worked out .",{},conll2003
"Chechnya must be accorded the maximum autonomy possible within the framework of Russian integrity , "" said Cotti .","{""LOC"": [""Chechnya""], ""MISC"": [""Russian""], ""PER"": [""Cotti""]}",conll2003
-DOCSTART-,{},conll2003
Dutch say no reason to reopen El Al carqo enquiry .,"{""MISC"": [""Dutch""], ""ORG"": [""El Al""]}",conll2003
THE HAGUE 1996-08-30,"{""LOC"": [""THE HAGUE""]}",conll2003
The Dutch transport minister Annemarie Jorritsma told the country ' second chamber that there is no further need to investigate the 1992 crash of an El Al freighter which left 43 dead in an Amsterdam suburb .,"{""MISC"": [""Dutch""], ""PER"": [""Annemarie Jorritsma""], ""ORG"": [""El Al""], ""LOC"": [""Amsterdam""]}",conll2003
She said that a request from her ministry for the aircraft 's waybill documentation and further information about the contents of its hold had been complied with by El Al 's head office in Tel Aviv .,"{""ORG"": [""El Al""], ""LOC"": [""Tel Aviv""]}",conll2003
"The Dutch transport ministry had come in for pressure from a cross-section of Dutch members of parliaments in May this year , some of whom believed the aircraft had been carrying unlisted , dangerous goods .","{""MISC"": [""Dutch"", ""Dutch""]}",conll2003
Others said they thought the aircraft was loaded with too much airfreight .,{},conll2003
"Jorritsma said the latest evidence from El Al in no way supported the allegations , and added there is no justification for a further investigation into the incident .","{""PER"": [""Jorritsma""], ""ORG"": [""El Al""]}",conll2003
-- Air Cargo Newsroom Tel+44 171 542 8982 Fax +44 171 542 5017,"{""ORG"": [""Air Cargo Newsroom""]}",conll2003
-DOCSTART-,{},conll2003
"Armenians , Azeris hold peace talks in Germany .","{""MISC"": [""Armenians"", ""Azeris""], ""LOC"": [""Germany""]}",conll2003
BONN 1996-08-30,"{""LOC"": [""BONN""]}",conll2003
"Representatives from Armenia and Azerbaijan held talks earlier this week in Germany on bringing a lasting peace to the disputed Nagorno-Karabakh region , a diplomatic source close to the talks said on Friday .","{""LOC"": [""Armenia"", ""Azerbaijan"", ""Germany"", ""Nagorno-Karabakh""]}",conll2003
"The source , who spoke on condition of anonymity , said Azerbaijani presidential adviser Vafa Gulizade and his Armenian counterpart Zhirayr Liparityan met to discuss the disputed enclave on Wednesday and had now flown home .","{""PER"": [""Azerbaijani"", ""Vafa Gulizade"", ""Zhirayr Liparityan""], ""MISC"": [""Armenian""]}",conll2003
"An uneasy ceasefire has prevailed in Nagorno-Karabakh , which represents around 20 percent of Azeri territory , since May 1994 after ethnic Armenians drove Azeris out of the region .","{""LOC"": [""Nagorno-Karabakh""], ""MISC"": [""Azeri"", ""Armenians"", ""Azeris""]}",conll2003
"The conflict , which began in 1988 , claimed over 10,000 lives .",{},conll2003
""" The main subject ( of the talks ) was the search for a peaceful solution for Nagorno-Karabakh , "" the source said .","{""LOC"": [""Nagorno-Karabakh""]}",conll2003
He declined to reveal any more details about the content of the talks or their exact location in Germany .,"{""LOC"": [""Germany""]}",conll2003
"Azerbaijan has said it is prepared to grant autonomy to Nagorno-Karabakh if Armenian forces pull out , but will not accept Armenia 's demands for the independence of the enclave .","{""LOC"": [""Azerbaijan"", ""Nagorno-Karabakh"", ""Armenia""]}",conll2003
"Russia 's Interfax news agency reported on Tuesday the officials had departed for negotiations in Germany , adding that face-to-face talks between the two sides first took place last December in Amsterdam .","{""LOC"": [""Russia"", ""Germany"", ""Amsterdam""], ""ORG"": [""Interfax""]}",conll2003
Interfax said the discussions were being held in parallel with peace talks mediated by the Organisation for Security and Cooperation in Europe ( OSCE ) and the broad-based Minsk Group of countries led by Russia and Finland .,"{""ORG"": [""Interfax"", ""Organisation for Security and Cooperation in Europe"", ""OSCE"", ""Minsk Group""], ""LOC"": [""Russia"", ""Finland""]}",conll2003
-DOCSTART-,{},conll2003
Sombre mood on Arctic island after plane crash .,"{""MISC"": [""Arctic""]}",conll2003
Rolf Soderlind,"{""PER"": [""Rolf Soderlind""]}",conll2003
"LONGYEAR , Norway 1996-08-30","{""LOC"": [""LONGYEAR"", ""Norway""]}",conll2003
"The windblown , chilly streets of this tiny Arctic town are all but deserted and flags are flying at half-mast beneath a brooding , clouded sky .","{""MISC"": [""Arctic""]}",conll2003
"Longyear is a town in mourning , a close-knit community that has been shattered .","{""LOC"": [""Longyear""]}",conll2003
"Disaster struck on Thursday when a Russian airliner bringing coal miners to work crashed as it came in to land at the airport , killing all 141 people on board .","{""MISC"": [""Russian""]}",conll2003
""" It 's a sight I will never forget .",{},conll2003
"I will remember it for the rest of my life , "" said Stig Onarheim .","{""PER"": [""Stig Onarheim""]}",conll2003
"He was one of a handful of rescuers who raced to the scene of the crash in a helicopter on Thursday , hoping in vain to find survivors .",{},conll2003
"The plane smashed into a snow-capped mountain on the Arctic island of Spitzbergen on Thursday , just east of Longyear .","{""MISC"": [""Arctic""], ""LOC"": [""Spitzbergen"", ""Longyear""]}",conll2003
""" Imagine a big plane with a lot of luggage and people on board .",{},conll2003
"Think of all that mixed together , with twisted , wrecked parts on the slope , "" Onarheim , 29 , told Reuters .","{""LOC"": [""Onarheim""], ""ORG"": [""Reuters""]}",conll2003
"Police and local officials have sealed off the crash site , protecting it from intrusive reporters and from the polar bears that roam freely across the icy expanses .",{},conll2003
"The dead were all Russians and Ukrainians , coming to work in the mining towns of Barentsburg and Pyramiden .","{""MISC"": [""Russians"", ""Ukrainians""], ""LOC"": [""Barentsburg"", ""Pyramiden""]}",conll2003
"Longyear is a Norwegian settlement of just over 1,000 people , but it also feels the loss keenly .","{""LOC"": [""Longyear""], ""MISC"": [""Norwegian""]}",conll2003
""" I have trouble finding the words to express my grief .",{},conll2003
It 's a tragedy for everyone .,{},conll2003
"We know many of the people who live in Barentsburg , some of them could have been on the plane , "" said Johan Sletten , 52 .","{""LOC"": [""Barentsburg""], ""PER"": [""Johan Sletten""]}",conll2003
"Sletten , a caretaker who has lived on the island for 30 years , said the Norwegian and Russian communities visit frequently , competing at soccer in the summer and with snow-scooter races in the winter .","{""PER"": [""Sletten""], ""MISC"": [""Norwegian"", ""Russian""]}",conll2003
Teenage shop assistant Heidi Groenstein was blunter .,"{""PER"": [""Heidi Groenstein""]}",conll2003
""" I 'm glad it was not a Norwegian plane , "" she said . ""","{""MISC"": [""Norwegian""]}",conll2003
Just think of it -- a mining village where so many workers die .,{},conll2003
"They must be having a tough time of it now . """,{},conll2003
"Barentsburg , just a few hours ride by snow-scooter or 15 minutes by helicopter from Longyear , has asked to be left alone with its grief and told reporters to stay away .","{""LOC"": [""Barentsburg"", ""Longyear""]}",conll2003
Around 100 Russian and Ukrainian miners were waiting in Longyear to fly home on the plane that crashed .,"{""MISC"": [""Russian"", ""Ukrainian""], ""LOC"": [""Longyear""]}",conll2003
They were given shelter in the town 's church overnight and ate a sombre breakfast before getting on a bus for the airport .,{},conll2003
Another plane had been sent from Moscow to pick them up .,"{""LOC"": [""Moscow""]}",conll2003
"At this time of year , the only colour in Longyear comes from the brightly-painted wooden houses .","{""LOC"": [""Longyear""]}",conll2003
"Everything else is muddy , the waters of the fjord leaden .",{},conll2003
Winter is in the air .,{},conll2003
"Barentsburg is an even grimmer place , a run-down testament to the hardships of the new Russia .","{""LOC"": [""Barentsburg"", ""Russia""]}",conll2003
Spitzbergen lies some 500 miles ( 800 km ) off the northern tip of Norway and endures one of the most extreme climates on the planet .,"{""LOC"": [""Spitzbergen"", ""Norway""]}",conll2003
"Inhabited by fewer than 3,000 people in total , it sees the sun for 24 hours a day during summer and is plunged into round-the-clock darkness in the winter months .",{},conll2003
"The terrain is mountainous , the only roads are dirt tracks .",{},conll2003
Norway rules the island group under the terms of a 1920s international treaty which gave many other nations the right to establish setttlements and exploit the coal that is still mined there .,"{""LOC"": [""Norway""]}",conll2003
Only Russia has chosen to do so .,"{""LOC"": [""Russia""]}",conll2003
-DOCSTART-,{},conll2003
Ericsson says wins 1.2 bln SKR China order .,"{""ORG"": [""Ericsson""], ""LOC"": [""China""]}",conll2003
STOCKHOLM 1996-08-30,"{""LOC"": [""STOCKHOLM""]}",conll2003
Swedish telecoms group LM Ericsson AB said on Friday it won an order worth 1.2 billion crowns for a fixed public telecoms network in the Guangdong province of China .,"{""MISC"": [""Swedish""], ""ORG"": [""LM Ericsson AB""], ""LOC"": [""Guangdong"", ""China""]}",conll2003
Ericsson said in a statement the order was from the Guangdong Post and Telecommunications Administration ( GPTA ) .,"{""ORG"": [""Ericsson"", ""Guangdong Post and Telecommunications Administration"", ""GPTA""]}",conll2003
"The order included AXE switching equipment , ISDN equipment , Intelligent Network ( IN ) products , broad-band multi-media communication network products , services and training , Ericsson spokesman Per Zetterquist told Reuters .","{""MISC"": [""AXE"", ""Intelligent Network"", ""IN""], ""ORG"": [""Ericsson"", ""Reuters""], ""PER"": [""Per Zetterquist""]}",conll2003
"Deliveries are due to be completed by 1999 , the company said .",{},conll2003
-- Stockholm newsroom +46-8-700 1017,"{""LOC"": [""Stockholm""]}",conll2003
-DOCSTART-,{},conll2003
HK has infrastructure in place for post-97 - Tsang .,"{""LOC"": [""HK""], ""PER"": [""Tsang""]}",conll2003
AUCKLAND 1996-08-30,"{""LOC"": [""AUCKLAND""]}",conll2003
"Hong Kong Financial Secretary Donald Tsang said on Friday that the territory had the "" infrastructural hardware "" to make a success of its future under Chinese sovereignty from mid-1997 .","{""LOC"": [""Hong Kong""], ""PER"": [""Donald Tsang""], ""MISC"": [""Chinese""]}",conll2003
""" We have the largest and most efficient port on the South China coast ; we have the best transport and telecommunications infrastructure in the world ; and we are investing in this hardware on an enormous scale , "" Tsang said in a speech to Auckland during a visit to New Zealand .","{""LOC"": [""South China"", ""Auckland"", ""New Zealand""], ""PER"": [""Tsang""]}",conll2003
"Hong Kong also had the necessary "" constitutional infrastructure "" in place , with the promise of autonomy in running its affairs after the handover from Britain to China .","{""LOC"": [""Hong Kong"", ""Britain"", ""China""]}",conll2003
""" What this means in practice is that Hong Kong will go on raising its own taxes , issuing its own currency , setting its own expenditure priorities and managing its own enormous financial reserves , "" Tsang said .","{""LOC"": [""Hong Kong""], ""PER"": [""Tsang""]}",conll2003
"He acknowledged that many Hong Kong people had decided to seek their future elsewhere and others were sure to follow in the next nine months . ""","{""LOC"": [""Hong Kong""]}",conll2003
"But for the great majority of us , Hong Kong is our home and Hong Kong 's future is our future . ""","{""LOC"": [""Hong Kong"", ""Hong Kong""]}",conll2003
-- Wellington newsroom 64 4 473-4746,"{""LOC"": [""Wellington""]}",conll2003
-DOCSTART-,{},conll2003
PRESS DIGEST - Indonesian newspapers - August 30 .,"{""MISC"": [""Indonesian""]}",conll2003
"Following is a summary of major Indonesian political and business stories in leading newspapers , prepared by Reuters in Jakarta .","{""MISC"": [""Indonesian""], ""ORG"": [""Reuters""], ""LOC"": [""Jakarta""]}",conll2003
Reuters has not checked the stories and does not guarantee their accuracy .,"{""ORG"": [""Reuters""]}",conll2003
Telephone : ( 6221 ) 384-6364 .,{},conll2003
Fax : ( 6221 ) 344-8404 .,{},conll2003
- - - -,{},conll2003
KOMPAS,"{""ORG"": [""KOMPAS""]}",conll2003
Indonesian President Suharto has asked businessmen to share their experiences with each other in an effort to boost the country 's exports .,"{""MISC"": [""Indonesian""], ""PER"": [""Suharto""]}",conll2003
- - - -,{},conll2003
JAKARTA POST,"{""ORG"": [""JAKARTA POST""]}",conll2003
Speaker of the House of Representatives Wahono has called on those serving in high state institutions to direct their efforts in the coming years towards dismantling all barriers to social justice .,"{""ORG"": [""House of Representatives""], ""PER"": [""Wahono""]}",conll2003
An agreement to bring peace to the southern Philippines is set to be initialed on Friday after delegates from the Philippine government and the Moro National Liberation Front ( MNLF ) concluded negotiations on the treaty which is set to end almost 25 years of conflict in the region .,"{""LOC"": [""Philippines"", ""Philippine""], ""ORG"": [""Moro National Liberation Front"", ""MNLF""]}",conll2003
- - - -,{},conll2003
MEDIA INDONESIA,"{""ORG"": [""MEDIA INDONESIA""]}",conll2003
"Around 2,000 of Indonesia 's controversial Timor national car made by Kia Motor Corp of South Korea arrived at Jakarta 's Tanjung Priok port on Thursday .","{""LOC"": [""Indonesia"", ""South Korea"", ""Jakarta"", ""Tanjung Priok""], ""ORG"": [""Kia Motor Corp""]}",conll2003
"The cars will be jointly marketed by Kia and PT Timor Putra Nasional , controlled by a son of President Suharto , which plans next year to start assembling the vehicles in Indonesia .","{""ORG"": [""Kia"", ""PT Timor Putra Nasional""], ""PER"": [""Suharto""], ""LOC"": [""Indonesia""]}",conll2003
- - - -,{},conll2003
REPUBLIKA,"{""ORG"": [""REPUBLIKA""]}",conll2003
The Central Jakarta District Court has started to hear the suit filed by ousted Indonesian Democratic Party ( PDI ) leader Megawati Sukarnoputri against the government and party rivals after the parties failed to reach an out-of-court settlement .,"{""ORG"": [""Central Jakarta District Court"", ""Indonesian Democratic Party"", ""PDI""], ""PER"": [""Megawati Sukarnoputri""]}",conll2003
Megawati has sued the defendants over a government-backed rebel congress which ousted her last June .,"{""PER"": [""Megawati""]}",conll2003
-DOCSTART-,{},conll2003
Jeans Mate Corp - 6mth parent forecast .,"{""ORG"": [""Jeans Mate Corp""]}",conll2003
TOKYO 1996-08-30,"{""LOC"": [""TOKYO""]}",conll2003
"Six months to August 20 , 1996",{},conll2003
( in billions of yen unless specified ),{},conll2003
LATEST PREVIOUS ACTUAL,{},conll2003
( Parent ) FORECAST FORECAST YEAR-AGO,{},conll2003
Sales 9.06 9.31 8.42,{},conll2003
Current 818 million 979 million 882 million,{},conll2003
Net 415 million 490 million 412 million,{},conll2003
NOTE - Jeans Mate Corp is the full company name .,"{""ORG"": [""Jeans Mate Corp""]}",conll2003
-DOCSTART-,{},conll2003
Apic Yamada - 6mth parent forecast .,"{""ORG"": [""Apic Yamada""]}",conll2003
TOKYO 1996-08-30,"{""LOC"": [""TOKYO""]}",conll2003
"Six months to September 30 , 1996",{},conll2003
( in billions of yen unless specified ),{},conll2003
LATEST PREVIOUS ACTUAL,{},conll2003
( Parent ) FORECAST FORECAST YEAR-AGO,{},conll2003
Sales 12.50 13.00 11.27,{},conll2003
Current 1.30 1.35 1.09,{},conll2003
Net 650 million 680 million 600 million,{},conll2003
NOTE - Apic Yamada Corp is a leading manufacturer of semiconductor leadframes .,"{""ORG"": [""Apic Yamada Corp""]}",conll2003
-DOCSTART-,{},conll2003
"Bootleg brew kills 35 in China , police nab suspects .","{""LOC"": [""China""]}",conll2003
BEIJING 1996-08-30,"{""LOC"": [""BEIJING""]}",conll2003
"Police in southwest China have arrested 30 people suspected of making and selling homemade alcohol that killed 35 people and poisoned 157 , the Xinhua news agency said on Friday .","{""LOC"": [""China""], ""ORG"": [""Xinhua""]}",conll2003
"A group of farmers in Huize county in the southwestern province of Yunnan were arrested for blending alcohol with methanol and selling the toxic liquor to local residents , the agency said .","{""LOC"": [""Huize"", ""Yunnan""]}",conll2003
"Between late June and July , a total of 192 people were poisoned by the toxic liquor , and 35 of them died and six were left severely handicapped , it said .",{},conll2003
"Local authorities launched an investigation after they received reports of several similar deaths in the area , it said .",{},conll2003
Post-mortem examinations showed they were all caused by methanol poisoning .,{},conll2003
"Police had confiscated the remainder of the poisonous liquor , Xinhua said .","{""ORG"": [""Xinhua""]}",conll2003
It gave no further details .,{},conll2003
-DOCSTART-,{},conll2003
Singapore hangs Thai drug trafficker .,"{""LOC"": [""Singapore""], ""MISC"": [""Thai""]}",conll2003
SINGAPORE 1996-08-30,"{""LOC"": [""SINGAPORE""]}",conll2003
"Singapore hanged a Thai farmer at Changi Prison on Friday for drug trafficking , the Central Narcotics Bureau ( CNB ) said .","{""LOC"": [""Singapore"", ""Changi Prison""], ""MISC"": [""Thai""], ""ORG"": [""Central Narcotics Bureau"", ""CNB""]}",conll2003
"Jeerasak Densakul , 24 , was arrested in 1995 when he was found with 11 slabs of cannabis weighing 2.2 kg ( 4.8 pounds ) , the CNB said .","{""PER"": [""Jeerasak Densakul""], ""ORG"": [""CNB""]}",conll2003
"Singapore has a mandatory death sentence for anyone over 18 years of age found guilty of trafficking in more than 15 grams ( half an ounce ) of heroin , 30 grams ( an ounce ) of morphine or 500 grams ( 18 oz ) of cannabis or marijuana .","{""LOC"": [""Singapore""]}",conll2003
"Of the nearly 270 people hanged for various crimes in Singapore since 1975 , almost half have been for drug-related charges .","{""LOC"": [""Singapore""]}",conll2003
-DOCSTART-,{},conll2003
Arafat goes to Nablus ahead of cabinet meeting .,"{""PER"": [""Arafat""], ""LOC"": [""Nablus""]}",conll2003
"NABLUS , West Bank 1996-08-30","{""LOC"": [""NABLUS"", ""West Bank""]}",conll2003
"Palestinian President Yasser Arafat arrived in the West Bank self-rule enclave of Nablus from Ramallah on Friday , witnesses said .","{""MISC"": [""Palestinian""], ""PER"": [""Yasser Arafat""], ""LOC"": [""West Bank"", ""Nablus"", ""Ramallah""]}",conll2003
His aides said Arafat would hold the weekly meeting of the Palestinian self-rule Authority 's cabinet in Nablus on Saturday .,"{""PER"": [""Arafat""], ""ORG"": [""Palestinian self-rule Authority""], ""LOC"": [""Nablus""]}",conll2003
"In Jerusalem , Israeli security forces were bracing for thousands of Palestinians expected to answer Arafat 's call earlier this week to come to the city holy to Moslems , Arabs and Jews to pray in protest against Israel 's settlement policy in the West Bank and delay in peace negotiations .","{""LOC"": [""Jerusalem"", ""Israel"", ""West Bank""], ""MISC"": [""Israeli"", ""Palestinians"", ""Moslems"", ""Arabs"", ""Jews""], ""PER"": [""Arafat""]}",conll2003
Palestinians want Arab East Jerusalem as the capital of a future independent state .,"{""MISC"": [""Palestinians""], ""LOC"": [""Arab East Jerusalem""]}",conll2003
"Israel , which captured and annexed East Jerusalem in 1967 , says it will never cede any part of the city .","{""LOC"": [""Israel"", ""East Jerusalem""]}",conll2003
"Arafat , who made an interim peace deal with Israel in 1993 that set up self-rule , says he will only visit Jerusalem once Israeli occupation has ended .","{""PER"": [""Arafat""], ""LOC"": [""Israel"", ""Jerusalem""], ""MISC"": [""Israeli""]}",conll2003
-DOCSTART-,{},conll2003
U.N. Council concerned about Israeli bulldozers .,"{""ORG"": [""U.N. Council""], ""MISC"": [""Israeli""]}",conll2003
UNITED NATIONS 1996-08-29,"{""ORG"": [""UNITED NATIONS""]}",conll2003
Security Council members expressed concern on Thursday that Israel 's bulldozing of a Palestinian day-care centre for the disabled might further injure the Middle East peace process .,"{""ORG"": [""Security Council""], ""LOC"": [""Israel"", ""Middle East""], ""MISC"": [""Palestinian""]}",conll2003
"Responding to a letter from the the Palestinian U.N. observer mission , Security Council President Tono Eitel of Germany said that members asked him to convey their views to Israel 's charge d'affaires , David Peleg .","{""MISC"": [""Palestinian""], ""ORG"": [""U.N."", ""Security Council""], ""PER"": [""Tono Eitel"", ""David Peleg""], ""LOC"": [""Germany"", ""Israel""]}",conll2003
""" The members expressed their concern about the maintenance of the peace process and they urged that no action be taken that would have a negative impact on the negotiations , "" Eitel said after an informal council session .","{""PER"": [""Eitel""]}",conll2003
""" They asked me to call in the Israeli charge d'affaires and discuss the matter with him , "" he added .","{""MISC"": [""Israeli""]}",conll2003
"The Palestinian letter from Marwan Jilani said the destruction of the Jerusalem centre was an effort by Israel to "" alter the character , demographic composition and status of the Holy City of Jerusalem "" and violated agreements between Israel and the Palestinian Liberation Organisation .","{""MISC"": [""Palestinian""], ""PER"": [""Marwan Jilani""], ""LOC"": [""Jerusalem"", ""Israel"", ""Holy City of Jerusalem"", ""Israel""], ""ORG"": [""Palestinian Liberation Organisation""]}",conll2003
""" This most recent measure represents a revival of old , malicious plans to confiscate the land and build units for Israeli settlers within the walls of the Old City . ""","{""MISC"": [""Israeli""], ""LOC"": [""Old City""]}",conll2003
""" We expect the international community to take a clear and firm position , based on international law and in accordance with U.N. resolutions , against all such Israeli violations and illegal practices , "" he said .","{""ORG"": [""U.N.""], ""MISC"": [""Israeli""]}",conll2003
"On Tuesday , Israeli crews hoisted a bulldozer over the walls of Jerusalem 's old city and demolished the centre , saying it was being restored without a building permit .","{""MISC"": [""Israeli""], ""LOC"": [""Jerusalem""]}",conll2003
"Canada had recently donated $ 30 million to the centre , called the Burj al-Laqlaq Society .","{""LOC"": [""Canada"", ""Burj al-Laqlaq Society""]}",conll2003
-DOCSTART-,{},conll2003
SOCCER - REAL SCRAPE 1-1 DRAW IN SCRAPPY OPENING MATCH .,"{""ORG"": [""REAL""]}",conll2003
"LA CORUNA , Spain 1996-08-31","{""LOC"": [""LA CORUNA"", ""Spain""]}",conll2003
A late goal by newly-signed defender Roberto Carlos saved the blushes of Real Madrid coach Fabio Capello and his multi-billion peseta line-up in the opening game of the Spanish championship on Saturday .,"{""PER"": [""Roberto Carlos"", ""Fabio Capello""], ""ORG"": [""Real Madrid""], ""MISC"": [""Spanish""]}",conll2003
The Brazilian 's 79th-minute effort was enough to earn Real a point from a scrappy 1-1 draw at fellow title contenders Deportivo Coruna .,"{""MISC"": [""Brazilian""], ""ORG"": [""Real"", ""Deportivo Coruna""]}",conll2003
"Deportivo started strongly , taking the lead midway through the first half when former Auxerre playmaker Corentine Martins headed home a corner after a flick-on by Brazilian-born Spanish international midfielder Donato .","{""ORG"": [""Deportivo"", ""Auxerre""], ""PER"": [""Corentine Martins"", ""Donato""], ""MISC"": [""Brazilian-born Spanish""]}",conll2003
Real looked to be in deep trouble shortly after the break when Luis Milla was sent off for committing two bookable offences in as many minutes .,"{""ORG"": [""Real""], ""PER"": [""Luis Milla""]}",conll2003
"But Deportivo were unable to capitalise on their numerical advantage , and were themselves reduced to ten men when Armando Alvarez was sent off 15 minutes from time .","{""ORG"": [""Deportivo""], ""PER"": [""Armando Alvarez""]}",conll2003
