Sentence,NER,generated_ner
im looking for a romantic restaurant where are some near me,"{""Amenity"": [""romantic""], ""Location"": [""near me""]}",{}
im looking for a top of the line steak place with valet parking,"{""Rating"": [""top of the line""], ""Cuisine"": [""steak""], ""Amenity"": [""valet parking""]}",{}
im looking for an all you can eat mexican buffet,"{""Amenity"": [""all you can eat""], ""Cuisine"": [""mexican buffet""]}","{ ""location"": [""Mexican""]}"
im looking for an asian buffet,"{""Cuisine"": [""asian""], ""Amenity"": [""buffet""]}",{}
im looking for cheap spanish cuisine,"{""Price"": [""cheap""], ""Cuisine"": [""spanish""]}","{ ""location"": [""Spanish""]}"
im looking for some nearby brazilian food for a special occasion,"{""Location"": [""nearby""], ""Cuisine"": [""brazilian""], ""Amenity"": [""special occasion""]}","{ ""location"": [""brazilian""]}"
im looking for somewhere i can get a lot of food for not too much money,"{""Amenity"": [""lot of food""], ""Price"": [""not too much money""]}",{}
im looking for somewhere to get affordable sushi,"{""Price"": [""affordable""], ""Dish"": [""sushi""]}",{}
im looking for somewhere with a good wine list within a mile of here that is open before ten in the morning,"{""Rating"": [""good""], ""Amenity"": [""wine list""], ""Location"": [""within a mile""], ""Hours"": [""open before ten in the morning""]}",{}
im low on cash where is the nearest atm,"{""Location"": [""nearest""]}",{}
im on a budget but i want to eat can you suggest something,"{""Price"": [""budget""]}",{}
im on a really tight budget but im hungry help me out,"{""Price"": [""tight budget""]}",{}
im really hungry take me to the closest restaurant,"{""Location"": [""closest""]}",{}
im starving help me find a fast food restaurant,"{""Cuisine"": [""fast food""]}",{}
im starving is there a restaurant that sells shawarma here,"{""Dish"": [""shawarma""], ""Location"": [""here""]}","{ ""location"": [""shawarma""]}"
im starving so fast food will do,"{""Cuisine"": [""fast food""]}",{}
im starving tell me where the closest mcdonalds is,"{""Location"": [""closest""], ""Restaurant_Name"": [""mcdonalds""]}","{ ""location"": [""mcdonalds""]}"
im thinking spanish tapas is there one in port,"{""Dish"": [""spanish tapas""], ""Location"": [""in port""]}","{ ""location"": [""Spanish""]}"
im trying to find a family friendly restaurant with a gift shop within 10 miles of sunswept hotel in orange beach,"{""Amenity"": [""family friendly"", ""gift shop""], ""Location"": [""within 10 miles of sunswept hotel in orange beach""]}",{}
in which restaurants can one smoke,"{""Amenity"": [""smoke""]}",{}
indian restraunt,"{""Cuisine"": [""indian""]}",{}
is a dairy queen nearby,"{""Restaurant_Name"": [""dairy queen""], ""Location"": [""nearby""]}",{}
is albertos deli open until 11 pm,"{""Restaurant_Name"": [""albertos deli""], ""Hours"": [""open until 11 pm""]}","{ ""location"": [""Albertos deli""]}"
is azita restaurant a date spot,"{""Restaurant_Name"": [""azita restaurant""], ""Amenity"": [""date spot""]}","{ ""location"": [""azita""]}"
is bambinos restaurant close by,"{""Restaurant_Name"": [""bambinos""], ""Location"": [""close by""]}","{ ""location"": [""bambinos""]}"
is chepes restaurant on the way,"{""Restaurant_Name"": [""chepes restaurant""], ""Location"": [""way""]}","{ ""location"": [""chepes""]}"
is chickfila open today,"{""Restaurant_Name"": [""chickfila""], ""Hours"": [""open today""]}","{ ""location"": [""chickfila""]}"
is dave and busters a good lunch spot,"{""Restaurant_Name"": [""dave and busters""], ""Rating"": [""good""], ""Hours"": [""lunch""]}",{}
is deluna pizza open after midnight,"{""Restaurant_Name"": [""deluna pizza""], ""Hours"": [""after midnight""]}","{ ""location"": [""deluna""]}"
is fitzys pub in san jose family friendly,"{""Restaurant_Name"": [""fitzys pub""], ""Location"": [""in san jose""], ""Amenity"": [""family friendly""]}","{ ""location"": [""san jose""]}"
is golden house restaurant kids friendly,"{""Restaurant_Name"": [""golden house restaurant""], ""Amenity"": [""kids friendly""]}",{}
is izzys ice cream shop open right now,"{""Restaurant_Name"": [""izzys ice cream shop""], ""Hours"": [""open right now""]}","{ ""location"": [""izzys""]}"
is jade garden within a mile of my current location,"{""Restaurant_Name"": [""jade garden""], ""Location"": [""within a mile""]}",{}
is outback having any specials today,"{""Restaurant_Name"": [""outback""]}",{}
is panera bread open for breakfast,"{""Restaurant_Name"": [""panera bread""], ""Hours"": [""breakfast""]}","{ ""product"": [""panera bread""]}"
is papa johns on cradle way still open,"{""Restaurant_Name"": [""papa johns""], ""Location"": [""cradle way""], ""Hours"": [""still open""]}","{ ""location"": [""papa johns""]}"
is pasquales still located on dayton street,"{""Restaurant_Name"": [""pasquales""], ""Location"": [""dayton street""]}","{ ""location"": [""dayton street""]}"
is quiznos open for breakfast,"{""Restaurant_Name"": [""quiznos""], ""Hours"": [""breakfast""]}","{ ""location"": [""quiznos""]}"
is ruby tuesdays in chattanooga tn romantic,"{""Restaurant_Name"": [""ruby tuesdays"", ""tn""], ""Location"": [""chattanooga""]}","{ ""location"": [""chattanooga""]}"
is santa ramen in san mateo busy on thursday nights,"{""Restaurant_Name"": [""santa ramen""], ""Location"": [""san mateo""], ""Hours"": [""thursday nights""]}","{ ""location"": [""san mateo""]}"
is sidney and hampton an expensive hotel restaurant,"{""Restaurant_Name"": [""sidney and hampton""], ""Price"": [""expensive""]}","{ ""location"": [""sidney"", ""hampton""]}"
is the a chau restaurant within a mile from here a local favorite,"{""Restaurant_Name"": [""chau""], ""Location"": [""within a mile""]}",{}
is the amaral manuel near here open after 12 pm,"{""Restaurant_Name"": [""amaral manuel""], ""Location"": [""near here""], ""Hours"": [""open after 12 pm""]}",{}
is the chateau restaurant affordable,"{""Restaurant_Name"": [""chateau restaurant""], ""Price"": [""affordable""]}",{}
is the hoseas restaurant nearby and does it offer live music,"{""Restaurant_Name"": [""hoseas restaurant""], ""Location"": [""nearby""], ""Amenity"": [""live music""]}","{ ""location"": [""hoseas""]}"
is the mcdonalds near my house open after midnight,"{""Restaurant_Name"": [""mcdonalds""], ""Location"": [""near my house""], ""Hours"": [""open after midnight""]}","{ ""location"": [""mcdonalds""]}"
is the pasteur restaurant a good place for lunch are they expensive,"{""Restaurant_Name"": [""pasteur restaurant""], ""Rating"": [""good""], ""Hours"": [""lunch""], ""Price"": [""expensive""]}",{}
is the patio at the butcher and the boar dog friendly,"{""Amenity"": [""patio"", ""dog friendly""], ""Restaurant_Name"": [""butcher and the boar""]}",{}
is the pizza place closer than the chinese restaurant,"{""Cuisine"": [""pizza"", ""chinese""], ""Location"": [""closer""]}",{}
is the pricing fair,"{""Price"": [""pricing fair""]}",{}
is the restaurant pushcart open until 11 am,"{""Restaurant_Name"": [""pushcart""], ""Hours"": [""open"", ""11 am""]}",{}
is the rubios fresh mex grill within 10 miles from my house a hidden find,"{""Restaurant_Name"": [""rubios fresh mex grill""], ""Location"": [""within 10 miles"", ""my house""], ""Cuisine"": [""hidden""]}","{ ""location"": [""rubios""]}"
is the seven seas diner expensive,"{""Restaurant_Name"": [""seven seas diner""], ""Price"": [""expensive""]}",{}
is the silverbull steakhouse open seven days a week,"{""Restaurant_Name"": [""silverbull steakhouse""]}","{ ""location"": [""silverbull""]}"
is the tea garden restaurant in medford good for a date night,"{""Restaurant_Name"": [""tea garden restaurant""], ""Location"": [""medford""], ""Amenity"": [""date night""]}","{ ""location"": [""medford""]}"
is the twirl pasta in north end a good place for a business lunch,"{""Restaurant_Name"": [""twirl pasta""], ""Location"": [""north end""], ""Amenity"": [""business""], ""Hours"": [""lunch""]}",{}
is the tylers restaurant in baltimore a little pricey,"{""Restaurant_Name"": [""tylers restaurant""], ""Location"": [""baltimore""], ""Price"": [""little""]}","{ ""location"": [""baltimore""]}"
is there a an indian restaurant in this town,"{""Cuisine"": [""indian""], ""Location"": [""in this town""]}","{ ""location"": [""indian""]}"
is there a bakery near here,"{""Cuisine"": [""bakery""], ""Location"": [""near here""]}",{}
is there a bar that stays open after 2 am that is within a 5 minute distance,"{""Cuisine"": [""bar""], ""Hours"": [""open after 2 am""], ""Location"": [""within a 5 minute distance""]}",{}
is there a benihana in this city,"{""Restaurant_Name"": [""benihana""], ""Location"": [""this city""]}",{}
is there a bojangles in laurel,"{""Restaurant_Name"": [""bojangles""], ""Location"": [""laurel""]}",{}
is there a breakfast place that has valet parking,"{""Hours"": [""breakfast""], ""Amenity"": [""valet parking""]}",{}
is there a business dining restaurant where i can get cakes until 1 am,"{""Amenity"": [""business""], ""Dish"": [""cakes""], ""Hours"": [""until 1 am""]}",{}
is there a cafe that serves frog legs in fort worth,"{""Cuisine"": [""cafe""], ""Dish"": [""frog legs""], ""Location"": [""fort worth""]}","{ ""location"": [""fort worth""]}"
is there a cheap fast food restaurant nearby,"{""Price"": [""cheap""], ""Cuisine"": [""fast food""], ""Location"": [""nearby""]}",{}
is there a cheap vegetarian restaurant nearby,"{""Price"": [""cheap""], ""Cuisine"": [""vegetarian""], ""Location"": [""nearby""]}",{}
is there a chick fil a within 5 miles of here,"{""Restaurant_Name"": [""chick fil a""], ""Location"": [""within 5 miles""]}",{}
is there a chinese buffet that serves family style,"{""Cuisine"": [""chinese""], ""Amenity"": [""buffet"", ""family style""]}",{}
is there a chinese restaurant in the midvale mall,"{""Cuisine"": [""chinese""], ""Location"": [""midvale mall""]}","{ ""location"": [""midvale mall""]}"
is there a chipotle located with in a mile of where i am now,"{""Restaurant_Name"": [""chipotle""], ""Location"": [""with in a mile""]}","{ ""location"": [""chipotle""]}"
is there a ciao bella on holyoke st,"{""Restaurant_Name"": [""ciao bella""], ""Location"": [""holyoke st""]}","{ ""location"": [""Holyoke st""]}"
is there a club diner in watertown with a bar,"{""Amenity"": [""club"", ""bar""], ""Cuisine"": [""diner""], ""Location"": [""watertown""]}",{}
is there a deli nearby that takes credit cards and is open right now,"{""Cuisine"": [""deli""], ""Location"": [""nearby""], ""Amenity"": [""takes credit cards""], ""Hours"": [""open right now""]}",{}
is there a diner with a patio in boxford,"{""Cuisine"": [""diner""], ""Amenity"": [""patio""], ""Location"": [""boxford""]}","{ ""location"": [""boxford""]}"
is there a donut and donuts restaurant within 5 miles with a beer list,"{""Restaurant_Name"": [""donut and donuts restaurant""], ""Location"": [""within 5 miles""], ""Amenity"": [""beer list""]}",{}
is there a dress code and yuris dine in restaurant,"{""Amenity"": [""dress code""], ""Restaurant_Name"": [""yuris dine in restaurant""]}",{}
is there a five star restaurant or bar open late,"{""Rating"": [""five star""], ""Hours"": [""open late""]}",{}
is there a good diner in oakland,"{""Cuisine"": [""diner""], ""Location"": [""oakland""]}","{ ""location"": [""oakland""]}"
is there a good place to eat close by,"{""Rating"": [""good""], ""Location"": [""close by""]}",{}
is there a good vegan restaurant for kids,"{""Rating"": [""good""], ""Cuisine"": [""vegan""], ""Amenity"": [""kids""]}",{}
is there a halal place downtown where i could eat outside,"{""Cuisine"": [""halal""], ""Location"": [""downtown""], ""Amenity"": [""eat outside""]}",{}
is there a hidden tudors biscut world in this town,"{""Restaurant_Name"": [""hidden tudors biscut world""], ""Location"": [""this town""]}",{}
is there a hooters in this area,"{""Restaurant_Name"": [""hooters""], ""Location"": [""in this area""]}",{}
is there a jacks restaurant around here,"{""Restaurant_Name"": [""jacks""], ""Location"": [""around here""]}",{}
is there a japanese restraunt near by,"{""Cuisine"": [""japanese""], ""Location"": [""near by""]}","{ ""location"": [""japanese""]}"
is there a korean restaurant that is smoker friendly,"{""Cuisine"": [""korean""], ""Amenity"": [""smoker friendly""]}","{ ""location"": [""korean""]}"
is there a korean restaurant with nice decor and open late,"{""Cuisine"": [""korean""], ""Amenity"": [""nice decor""], ""Hours"": [""open late""]}","{ ""location"": [""korean""]}"
is there a late night place in west newbury where i can smoke,"{""Hours"": [""late night""], ""Location"": [""west newbury""], ""Amenity"": [""smoke""]}","{ ""location"": [""newbury""]}"
is there a location of field corner restaurant near by that has a happy hour,"{""Restaurant_Name"": [""field corner""], ""Location"": [""near by""], ""Amenity"": [""happy hour""]}",{}
is there a malaysian restaurant near roxbury crossing,"{""Cuisine"": [""malaysian""], ""Location"": [""roxbury crossing""]}","{ ""location"": [""roxbury""]}"
is there a mall with a food court around here,"{""Cuisine"": [""food court""], ""Location"": [""around here""]}",{}
is there a mcdonalds between here and my destination,"{""Restaurant_Name"": [""mcdonalds""], ""Location"": [""between here and my destination""]}","{ ""location"": [""mcdonalds""]}"
is there a mcdonalds nearby,"{""Restaurant_Name"": [""mcdonalds""], ""Location"": [""nearby""]}","{ ""location"": [""mcdonalds""]}"
is there a mcdonalds within two miles of here,"{""Restaurant_Name"": [""mcdonalds""], ""Location"": [""within two miles""]}","{ ""location"": [""mcdonalds""]}"
is there a mexican restaurant near here with large portion sizes,"{""Cuisine"": [""mexican""], ""Location"": [""near here""], ""Amenity"": [""large portion sizes""]}","{ ""location"": [""mexican""]}"
is there a moderately priced french restaurant in this area,"{""Price"": [""moderately""], ""Cuisine"": [""french""], ""Location"": [""in this area""]}","{ ""location"": [""french""]}"
is there a nice place in the theater district that wont drain my wallet,"{""Rating"": [""nice""], ""Location"": [""theater district""], ""Price"": [""wont drain my wallet""]}",{}
is there a nicely decorated restaurant in sacramento with a fireplace,"{""Amenity"": [""nicely decorated"", ""fireplace""], ""Location"": [""sacramento""]}","{ ""location"": [""sacramento""]}"
is there a olive garden nearby,"{""Restaurant_Name"": [""olive garden""], ""Location"": [""nearby""]}",{}
is there a pancake house nearby,"{""Cuisine"": [""pancake house""], ""Location"": [""nearby""]}",{}
is there a patio at w a frost,"{""Amenity"": [""patio""], ""Restaurant_Name"": [""w a frost""]}",{}
is there a place near by that serves tapas,"{""Location"": [""near by""], ""Dish"": [""tapas""]}","{ ""location"": [""tapas""]}"
is there a place that serves breakfast this late,"{""Cuisine"": [""breakfast""], ""Hours"": [""late""]}",{}
is there a place that will let me bring my own alcohol,"{""Amenity"": [""bring"", ""alcohol""]}",{}
is there a place to eat in the abington theatre district open after midnight,"{""Location"": [""abington theatre district""], ""Hours"": [""after midnight""]}","{ ""location"": [""abbington theatre district""]}"
is there a place to eat that has a friendly and cheerful atmosphere and offers steak on the menu,"{""Amenity"": [""friendly and cheerful atmosphere""], ""Dish"": [""steak""]}",{}
is there a place to eat that is still open at 10 pm close by,"{""Hours"": [""open at 10 pm""], ""Location"": [""close by""]}",{}
is there a place to get high tea nearby,"{""Location"": [""place"", ""nearby""], ""Cuisine"": [""high tea""]}",{}
is there a place with walking distance of the cinema that serves pizza by the slice,"{""Location"": [""walking distance of the cinema""], ""Dish"": [""pizza by the slice""]}",{}
is there a place within 10 minutes that has great atmosphere for a special meal,"{""Location"": [""within 10 minutes""], ""Amenity"": [""great atmosphere""]}",{}
is there a ponderosa near here,"{""Restaurant_Name"": [""ponderosa""], ""Location"": [""near here""]}","{ ""other"": [""ponderosa""]}"
is there a pool side night club nearby,"{""Amenity"": [""pool side night club""], ""Location"": [""nearby""]}",{}
is there a portuguese restaurant nearby,"{""Cuisine"": [""portuguese""], ""Location"": [""nearby""]}","{ ""location"": [""Portuguese""]}"
is there a rancho veo restaurant in north memphis,"{""Restaurant_Name"": [""rancho veo""], ""Location"": [""north memphis""]}","{ ""location"": [""memphis""]}"
is there a real cheap place to eat in kendall square at 8 pm,"{""Price"": [""real cheap""], ""Location"": [""kendall square""], ""Hours"": [""at 8 pm""]}","{ ""location"": [""kendall square""]}"
is there a reasonably priced restaurant that has perfect portion sizes,"{""Price"": [""reasonably""], ""Amenity"": [""perfect portion sizes""]}",{}
is there a red lobster in the area,"{""Restaurant_Name"": [""red lobster""], ""Location"": [""area""]}","{ ""location"": [""red lobster""]}"
is there a restaurant around here that serves chicken wings,"{""Location"": [""around here""], ""Dish"": [""chicken wings""]}",{}
is there a restaurant around where i could watch a football game it needs to be kid friendly,"{""Location"": [""around""], ""Amenity"": [""watch a football game"", ""kid friendly""]}",{}
is there a restaurant close by that has dancing and serves scallops,"{""Location"": [""close by""], ""Amenity"": [""dancing""], ""Dish"": [""scallops""]}",{}
is there a restaurant close by with valet parking,"{""Location"": [""close by""], ""Amenity"": [""valet parking""]}",{}
is there a restaurant in inman square that is after 9 pm 7 days a week,"{""Hours"": [""after 9 pm 7 days a week""]}","{ ""location"": [""inman square""]}"
is there a restaurant in the south end that has a fireplace and serves good portions,"{""Location"": [""south end""], ""Amenity"": [""fireplace"", ""serves good portions""]}",{}
is there a restaurant on the way,"{""Location"": [""way""]}",{}
is there a restaurant on waverly street that is priced competitively,"{""Location"": [""waverly street""], ""Price"": [""priced competitively""]}",{}
is there a restaurant that has a 5 star rating for it that people like,"{""Rating"": [""5 star rating""]}",{}
is there a restaurant that serves tacos before noon in charlestown,"{""Dish"": [""tacos""], ""Hours"": [""before noon""], ""Location"": [""in charlestown""]}","{ ""location"": [""charlestown""]}"
is there a restaurant with a bar scene nearby that serves small portioned meals and snacks,"{""Amenity"": [""bar scene""], ""Location"": [""nearby""], ""Cuisine"": [""small portioned meals and snacks""]}",{}
is there a sbarro in the galleria mall,"{""Restaurant_Name"": [""sbarro""], ""Location"": [""galleria mall""]}","{ ""location"": [""galleria mall""]}"
is there a sclafani italian bakery nearby with a view,"{""Restaurant_Name"": [""sclafani italian bakery""], ""Location"": [""nearby""], ""Amenity"": [""view""]}","{ ""location"": [""sclafani italian""]}"
is there a seafood restaurant around here,"{""Cuisine"": [""seafood""]}",{}
is there a small place in franklin that has beans,"{""Amenity"": [""small""], ""Location"": [""in franklin""], ""Dish"": [""beans""]}","{ ""location"": [""franklin""]}"
is there a smoking section at olive garden,"{""Amenity"": [""smoking section""], ""Restaurant_Name"": [""olive garden""]}",{}
is there a sports bar within a mile of the minneapolis convention center,"{""Cuisine"": [""sports bar""], ""Location"": [""within a mile of the minneapolis convention center""]}","{ ""location"": [""minneapolis""]}"
is there a starbucks on the west side of town,"{""Restaurant_Name"": [""starbucks""], ""Location"": [""west side of town""]}","{ ""location"": [""starbucks""]}"
is there a sudbury pizza place thats within 10 miles,"{""Restaurant_Name"": [""sudbury pizza place""], ""Location"": [""within 10 miles""]}","{ ""location"": [""sudbury""]}"
is there a swensens restaurant in the north end,"{""Restaurant_Name"": [""swensens restaurant""], ""Location"": [""in the north end""]}","{ ""location"": [""swensens""]}"
is there a taco joint near the college,"{""Cuisine"": [""taco joint""], ""Location"": [""near the college""]}",{}
is there a taqueria el rancho grandes around here for taking a date,"{""Restaurant_Name"": [""taqueria el rancho grandes""], ""Location"": [""around here""], ""Amenity"": [""taking a date""]}","{ ""location"": [""el rancho grandes""]}"
is there a thai restaurant with a great wine list,"{""Cuisine"": [""thai""], ""Rating"": [""great""], ""Amenity"": [""wine list""]}","{ ""location"": [""thai""]}"
is there a vegan restaurant within 5 miles,"{""Cuisine"": [""vegan""], ""Location"": [""within 5 miles""]}",{}
is there a very high end pastry place close to me,"{""Price"": [""very high end""], ""Cuisine"": [""pastry""], ""Location"": [""close to me""]}",{}
is there a wah sang restaurant with a great beer list,"{""Restaurant_Name"": [""wah sang""], ""Amenity"": [""beer list""]}",{}
is there a wangs fast food near providence highway,"{""Restaurant_Name"": [""wangs fast food""], ""Location"": [""providence highway""]}","{ ""location"": [""providence highway""]}"
is there a white castle on berkeley avenue,"{""Restaurant_Name"": [""white castle""], ""Location"": [""berkeley avenue""]}","{ ""location"": [""berkeley avenue""]}"
is there an all asia cafe nearby,"{""Restaurant_Name"": [""all asia cafe""], ""Location"": [""nearby""]}",{}
is there an apple bees near by or similar bar and grill,"{""Restaurant_Name"": [""apple bees""], ""Location"": [""near by""]}",{}
is there an applebees in hicksville ny with a special 10 menu,"{""Restaurant_Name"": [""applebees""], ""Location"": [""hicksville ny""], ""Amenity"": [""special 10 menu""]}","{ ""location"": [""hicksville ny""]}"
is there an english style restaurant open until midnight in north weymouth,"{""Cuisine"": [""english""], ""Hours"": [""open until midnight""], ""Location"": [""in north weymouth""]}","{ ""location"": [""weymouth""]}"
is there an environmentally friendly restaurant nearby,"{""Amenity"": [""environmentally friendly""], ""Location"": [""nearby""]}",{}
is there an expensive hotel named sidney and hampton with dining services,"{""Price"": [""expensive""], ""Restaurant_Name"": [""sidney and hampton""], ""Amenity"": [""dining services""]}","{ ""location"": [""Sidney"", ""Hampton""]}"
is there an expensive restaurant near here,"{""Price"": [""expensive""], ""Location"": [""near here""]}",{}
is there an ihop near by,"{""Restaurant_Name"": [""ihop""], ""Location"": [""near by""]}",{}
is there an indian restaurant within 5 miles that has a dinner buffet,"{""Cuisine"": [""indian""], ""Location"": [""within 5 miles""], ""Hours"": [""dinner""], ""Amenity"": [""buffet""]}","{ ""location"": [""indian""]}"
is there an italian bistro nearby,"{""Cuisine"": [""italian bistro""], ""Location"": [""nearby""]}","{ ""location"": [""italian""]}"
is there an italian place nearby,"{""Cuisine"": [""italian""], ""Location"": [""nearby""]}",{}
is there an olive garden in kendall square with private dining rooms,"{""Restaurant_Name"": [""olive garden""], ""Location"": [""kendall square""], ""Amenity"": [""private dining rooms""]}","{ ""location"": [""kendall square""]}"
is there an open taco bell nearby,"{""Hours"": [""open""], ""Restaurant_Name"": [""taco bell""], ""Location"": [""nearby""]}",{}
is there an restaurant in this part of town that serves thai food,"{""Location"": [""this part of town""], ""Cuisine"": [""thai""]}","{ ""location"": [""thai""]}"
is there an s and i to go nearby that has small portions,"{""Restaurant_Name"": [""s and i to go""], ""Location"": [""nearby""]}",{}
is there any 24 hour deli on the west side of town,"{""Hours"": [""24 hour""], ""Cuisine"": [""deli""], ""Location"": [""west side of town""]}",{}
is there any chinese food nearby,"{""Cuisine"": [""chinese""], ""Location"": [""nearby""]}","{ ""location"": [""chinese""]}"
is there any cuban food nearby with authentic dining,"{""Cuisine"": [""cuban""], ""Location"": [""nearby""], ""Amenity"": [""authentic dining""]}","{ ""location"": [""cuban""]}"
is there any good pizza in the area,"{""Rating"": [""good""], ""Dish"": [""pizza""], ""Location"": [""in the area""]}",{}
is there any place around that has bring your own liquor,"{""Amenity"": [""bring your own liquor""]}",{}
is there any place in this area that has outdoor seating,"{""Location"": [""in this area""], ""Amenity"": [""outdoor seating""]}",{}
is there any place nearby that serves seafood,"{""Location"": [""nearby""], ""Cuisine"": [""seafood""]}",{}
is there any place on the waterfront that does not allow smoking on the outside decks,"{""Location"": [""waterfront""], ""Amenity"": [""not allow smoking"", ""outside decks""]}",{}
is there any place open after 9 pm,"{""Hours"": [""open after 9 pm""]}",{}
is there any place that i can get a quick meal that isnt fast food,"{""Cuisine"": [""meal that"", ""fast food""]}",{}
is there any place where i can take my pet,"{""Amenity"": [""pet""]}",{}
is there any red lobster by the mall,"{""Restaurant_Name"": [""red lobster""], ""Location"": [""by the mall""]}",{}
is there any restaurant close by has live music,"{""Location"": [""close by""], ""Amenity"": [""live music""]}",{}
is there any restaurant in the city that serves congee,"{""Location"": [""in the city""], ""Dish"": [""congee""]}",{}
is there any restaurant near kendall square that delivers tea,"{""Location"": [""near kendall square""], ""Amenity"": [""delivers""], ""Dish"": [""tea""]}","{ ""location"": [""kendall square""]}"
is there any restaurant that serves fried chicken late night,"{""Dish"": [""fried chicken""], ""Hours"": [""late night""]}",{}
is there any sandwich shop by the high school,"{""Cuisine"": [""sandwich""], ""Location"": [""by the high school""]}",{}
is there anywhere in kendall square that has tea and delivers,"{""Location"": [""kendall square""], ""Dish"": [""tea""], ""Amenity"": [""delivers""]}","{ ""location"": [""kendall square""]}"
is there anywhere near here that is open 24 hours and serves breakfast,"{""Location"": [""near here""], ""Hours"": [""24 hours""], ""Cuisine"": [""breakfast""]}",{}
is there anywhere near me that i can find a great sandwich,"{""Location"": [""near me""], ""Rating"": [""great""], ""Dish"": [""sandwich""]}",{}
is there anywhere thats open past 1 am with exceptional prices,"{""Hours"": [""open past 1 am""], ""Price"": [""exceptional""]}",{}
is there anywhere to eat after 10 p m,"{""Hours"": [""after 10 p m""]}",{}
is there caribbean food around here,"{""Cuisine"": [""caribbean""], ""Location"": [""around here""]}","{ ""location"": [""caribbean""]}"
is there food near by,"{""Location"": [""near by""]}",{}
is there moderately priced food near,"{""Price"": [""moderately""], ""Location"": [""near""]}",{}
is there more than one fatty fish restaurant on long island,"{""Restaurant_Name"": [""fatty fish""], ""Location"": [""long island""]}",{}
is there parking at pierres,"{""Amenity"": [""parking""], ""Restaurant_Name"": [""pierres""]}","{ ""location"": [""Pierres""]}"
is there somewhere to eat that is kid friendly,"{""Amenity"": [""kid friendly""]}",{}
is this restaurant a hidden find,"{""Amenity"": [""hidden find""]}",{}
is this restaurant a local favorite,"{""Location"": [""local""], ""Rating"": [""favorite""]}",{}
is this restuarant open 7 days a week,"{""Hours"": [""open 7 days""]}",{}
is togos smoke free,"{""Restaurant_Name"": [""togos""], ""Amenity"": [""smoke free""]}","{ ""location"": [""togos""]}"
is ye olde cottage restaurant on the way i need a place to take some clients,"{""Restaurant_Name"": [""ye olde cottage restaurant""], ""Location"": [""way""], ""Amenity"": [""take some clients""]}",{}
its 10 pm is anything open,"{""Hours"": [""10 pm"", ""open""]}",{}
jeez the traffic is horrible today it looks like we need something quick off to donalds,"{""Restaurant_Name"": [""donalds""]}","{ ""location"": [""donalds""]}"
kid friendly restaurant never design center place with uper nice service,"{""Amenity"": [""kid friendly"", ""nice service""], ""Location"": [""design center place""], ""Rating"": [""uper""]}",{}
king fung garden two with parking,"{""Restaurant_Name"": [""king fung garden two""], ""Amenity"": [""parking""]}",{}
lets find the fanciest french cuisine in the city,"{""Amenity"": [""fanciest""], ""Cuisine"": [""french""], ""Location"": [""in the city""]}",{}
lets get some fries,"{""Dish"": [""fries""]}",{}
lets go get a taco,"{""Dish"": [""taco""]}",{}
list all restaurants that cater to families within a ten mile location of my current location,"{""Amenity"": [""cater to families"", ""location""], ""Location"": [""within a ten mile"", ""current location""]}",{}
list close restaurants,"{""Location"": [""close""]}",{}
list the nearest mcdonalds to 87 th and ashland,"{""Location"": [""nearest"", ""87 th and ashland""], ""Restaurant_Name"": [""mcdonalds""]}","{ ""location"": [""87 th and ashland""]}"
lobster roll,"{""Dish"": [""lobster roll""]}",{}
local fish tacos,"{""Location"": [""local""], ""Dish"": [""fish tacos""]}","{ ""product"": [""fish tacos""]}"
local hooters,"{""Location"": [""local""], ""Restaurant_Name"": [""hooters""]}",{}
local mcdonalds please,"{""Location"": [""local""], ""Restaurant_Name"": [""mcdonalds""]}","{ ""location"": [""mcdonalds""]}"
local restaurant joints with smoking areas,"{""Location"": [""local""], ""Amenity"": [""smoking areas""]}",{}
local subway resturant,"{""Location"": [""local""], ""Restaurant_Name"": [""subway""]}",{}
locate a five star restaurant that is open after 10 pm,"{""Rating"": [""five star""], ""Hours"": [""open after 10 pm""]}",{}
locate a place to eat that serves milk shakes,"{""Dish"": [""milk shakes""]}",{}
locate a sushi restaurant and give me their phone number,"{""Cuisine"": [""sushi""]}",{}
locate all mcdonalds within 5 miles,"{""Restaurant_Name"": [""mcdonalds""], ""Location"": [""within 5 miles""]}","{ ""location"": [""mcdonalds""]}"
locate an all you can eat buffet,"{""Amenity"": [""all you can eat buffet""]}",{}
locate bar with alcohol,"{""Dish"": [""alcohol""]}",{}
locate the nearest fast food restaurant,"{""Location"": [""nearest""], ""Cuisine"": [""fast food""]}",{}
locate the nearest restraunt,"{""Location"": [""nearest""]}",{}
look for inexpensive authentic mexican restaurants in chattanooga tennessee,"{""Price"": [""inexpensive""], ""Cuisine"": [""authentic mexican""], ""Location"": [""chattanooga tennessee""]}","{ ""location"": [""chattanooga tennessee""]}"
look up the reviews for this new asain restaurant,"{""Cuisine"": [""asain""]}",{}
looking for a 5 star restaurant that serves a great steack,"{""Rating"": [""5 star restaurant"", ""great""], ""Dish"": [""steack""]}",{}
looking for a diner with comfortable atmosphere and a rustic setting,"{""Cuisine"": [""diner""], ""Amenity"": [""comfortable atmosphere"", ""rustic setting""]}",{}
looking for a drive through restaurant close by opened 24 7,"{""Location"": [""drive"", ""close by""], ""Hours"": [""opened 24 7""]}",{}
looking for a good place to get cheese fries,"{""Rating"": [""good""], ""Dish"": [""cheese fries""]}",{}
